2026-08-05 13:14:18.511 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=21 fetched_new=10 fetched_total=208 has_next=True
2026-08-05 13:14:39.679 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=22 fetched_new=9 fetched_total=217 has_next=True
2026-08-05 13:14:46.685 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=23 fetched_new=10 fetched_total=227 has_next=True
2026-08-05 13:15:10.230 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=24 transport error: Failed to perform, curl: (35) TLS connect error: error:00000000:invalid library (0):OPENSSL_internal:invalid library (0). See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:15:15.695 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=24 fetched_new=10 fetched_total=237 has_next=True
2026-08-05 13:15:19.477 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=25 fetched_new=10 fetched_total=247 has_next=True
2026-08-05 13:15:23.821 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=26 fetched_new=10 fetched_total=257 has_next=True
2026-08-05 13:15:29.898 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=27 fetched_new=9 fetched_total=266 has_next=True
2026-08-05 13:15:30.512 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=28 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:15:31.618 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=28 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-05 13:15:32.727 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=28 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-05 13:15:56.466 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=28 transport error: Failed to perform, curl: (35) TLS connect error: error:00000000:invalid library (0):OPENSSL_internal:invalid library (0). See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-05 13:16:01.796 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=28 fetched_new=10 fetched_total=276 has_next=True
2026-08-05 13:16:07.057 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=29 fetched_new=10 fetched_total=286 has_next=True
2026-08-05 13:16:17.573 | INFO     | app.graphql_paginator:_paginate_curl:385 - [curl] page=30 fetched_new=10 fetched_total=296 has_next=True
2026-08-05 13:16:18.599 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=1)
2026-08-05 13:16:19.699 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=2)
2026-08-05 13:16:20.805 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=3)
2026-08-05 13:16:21.913 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=4)
2026-08-05 13:16:23.010 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=5)
2026-08-05 13:16:24.121 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=6)
2026-08-05 13:16:25.181 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=7)
2026-08-05 13:16:26.245 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=8)
2026-08-05 13:16:27.308 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=9)
2026-08-05 13:16:28.369 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) connection to proxy closed. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=10)
2026-08-05 13:16:29.435 | WARNING  | app.graphql_paginator:_paginate_curl:350 - [curl] page=31 transport error: Failed to perform, curl: (97) Connection closed abruptly. See https://curl.se/libcurl/c/libcurl-errors.html first for more details. (streak=11)
