Ключ,Нашёл в целевом дне,Новых крео в базу,Карточек просмотрено,Срезов,Какие статусы прошли,Примечание
Flint Treasure,842,95,2863,3,active+inactive,""
5 Lions Gold,837,2,1801,3,active+inactive,""
LuckyStar,836,8,1540,1,только active,""
artery,830,84,4409,2,active+inactive,""
match results,829,31,11999,1,только active,""
Energy Coins,789,51,2379,3,active+inactive,""
sweet win,785,13,6677,1,только active,""
intestines,772,3,2025,2,active+inactive,""
sun of egypt,759,98,4298,2,active+inactive,""
CashLuck,756,5,3029,2,active+inactive,""
Big win casino,750,8,2095,2,active+inactive,""
itching,748,18,3460,2,active+inactive,""
casino games,734,17,2222,2,active+inactive,""
Dice roll,722,383,3239,2,active+inactive,""
earn cash,722,34,13102,1,только active,""
daily challenge,721,34,2242,1,только active,""
Big bet bonus,720,9,2001,3,active+inactive,""
Crazy Coin,710,60,1600,1,только inactive,active-срез не отработал
urination,710,16,1604,2,active+inactive,""
odds,708,45,9473,1,только active,""
Pin-Up,706,29,5512,1,только active,""
Snake eyes,706,6,2750,1,только active,""
Casino credit,703,20,2206,2,active+inactive,""
prevention,699,228,1400,1,только inactive,active-срез не отработал
collect rewards,677,19,1821,2,active+inactive,""
bitcoin,664,70,2029,2,active+inactive,""
Betting games,662,76,2617,2,active+inactive,""
arcade game,661,60,1617,2,active+inactive,""
electronics,648,192,1418,1,только inactive,active-срез не отработал
vascular system,636,13,3862,2,active+inactive,""
Casino deals,633,8,1281,3,active+inactive,""
masterclass,621,631,6310,2,active+inactive,""
Casino app,619,22,2424,2,active+inactive,""
bonus game,614,44,3239,1,только active,""
hair restoration,610,88,2433,2,active+inactive,""
casual game,589,210,2239,2,active+inactive,""
inner ear,584,10,2409,2,active+inactive,""
sugar rush,584,3,2639,1,только active,""
bedroom confidence,578,31,2829,2,active+inactive,""
Table games,575,17,5453,1,только active,""
stable blood pressure,572,51,3629,2,active+inactive,""
Cash App Game,540,21,2012,2,active+inactive,""
macula,523,27,1200,2,active+inactive,""
larvae,523,4,1207,2,active+inactive,""
Big Win Slots,522,76,2012,2,active+inactive,""
Casino strategy,520,0,800,1,только inactive,active-срез не отработал
diarrhea,503,21,3445,2,active+inactive,""
Bonus wheel,501,18,1417,2,active+inactive,""
forex,496,98,1408,2,active+inactive,""
prostate,491,154,2418,1,только inactive,active-срез не отработал
Crash Game,466,48,3471,1,только active,""
tinnitus,462,63,2205,2,active+inactive,""
Hold 'em,459,26,4740,1,только active,""
free chips,457,32,7829,1,только active,""
Mr Green,436,10,3382,1,только active,""
arthritis,430,2403,5468,2,active+inactive,""
tear production,430,99,2864,3,active+inactive,""
constipation,429,25,800,1,только inactive,active-срез не отработал
FS,427,68,9172,1,только active,""
Gamble now,427,30,6930,1,только active,""
Lucky Winner,398,6,4253,1,только active,""
live score,395,24,7048,1,только active,""
5 Lions Dance,394,147,1018,3,active+inactive,""
Casino excitement,385,30,1471,3,active+inactive,""
body cleansing,375,97,1000,1,только inactive,active-срез не отработал
poker,371,50,5017,1,только active,""
Aviator,361,142,1009,2,active+inactive,""
Deposit bonus,359,1,2423,2,active+inactive,""
BGaming,351,1,1954,3,active+inactive,""
fissures,350,110,2120,3,active+inactive,""
Casino VIP,342,12,2285,3,active+inactive,""
farsightedness,339,2,1333,2,active+inactive,""
haircare,333,107,2644,2,active+inactive,""
Casino bonus,321,1,1630,2,active+inactive,""
ejaculation,313,32,1836,2,active+inactive,""
Casino-X,309,22,1210,2,active+inactive,""
Casino jackpot,300,8,1621,2,active+inactive,""
reward app,294,3,3061,1,только active,""
Casino slots,293,0,1021,2,active+inactive,""
ear inflammation,291,1,1200,2,active+inactive,""
collect coins,287,50,1602,2,active+inactive,""
Gates of olympus,284,18,1433,2,active+inactive,""
Treasure of Anubis,273,25,1634,2,active+inactive,""
match winner,271,2,1900,1,только active,""
eardrum,270,83,1433,3,active+inactive,""
High roller,267,9,2525,1,только active,""
sports app,266,52,4247,1,только active,""
baldness,258,11,1018,2,active+inactive,""
score app,252,28,5115,1,только active,""
bowel movement,250,7,2213,2,active+inactive,""
Mega win,237,1,1211,1,только active,""
receding hairline,236,39,1203,2,active+inactive,""
prediction,228,40,1939,1,только active,""
Fruit Party,225,1,5243,1,только active,""
scatter,224,21,2427,1,только active,""
instant prize,224,3,827,1,только active,""
fixed match,222,10,3854,2,active+inactive,""
Casino welcome bonus,217,1,1816,2,active+inactive,""
carbohydrates,214,5,1426,2,active+inactive,""
live odds,211,2,1758,1,только active,""
Coin Flip,210,8,1418,2,active+inactive,""
RoyalSpin,208,0,375,1,только active,""
Varicose veins,205,28,1408,2,active+inactive,""
Penalty Duel,205,24,600,3,active+inactive,""
cashback,203,27,1226,2,active+inactive,""
online casino,202,0,1657,1,только active,""
JetLucky,201,1,822,1,только active,""
Blackjack,196,43,1010,2,active+inactive,""
Split bet,193,1,1170,1,только active,""
Hemorrhoids,190,29,1201,2,active+inactive,""
Betting odds,186,3,1326,3,active+inactive,""
Betting platform,183,2,642,3,active+inactive,""
Cash App Casino,176,5,1200,3,active+inactive,""
sports league,175,3,1949,1,только active,""
glaucoma,172,16,2317,3,active+inactive,""
Tower Rush,167,7,1602,3,active+inactive,""
Gaming fun,166,1,701,1,только active,""
Gaming experience,161,1,3754,1,только active,""
rejuvenating,157,20,2240,2,active+inactive,""
Jackpot journey,153,0,235,1,только active,""
1xSlots,151,5,1213,2,active+inactive,""
cataract,150,18,1016,2,active+inactive,""
HellSpin,146,2,1816,1,только active,""
Casino rewards,139,4,1409,2,active+inactive,""
Jackpot World,137,0,923,1,только active,""
antiparasitic,136,1,1200,2,active+inactive,""
Safe gambling,136,0,1120,1,только active,""
sports expert,135,3,2284,1,только active,""
Online gaming,130,1,1470,1,только active,""
Play’n GO,128,10,1610,1,только active,""
Dice Game,128,9,1034,1,только active,""
Betting tips,128,1,518,3,active+inactive,""
Casino winnings,127,0,491,2,active+inactive,""
DreamSlots,126,7,807,2,active+inactive,""
Fruit Party 2,125,0,3178,1,только active,""
intestinal health,122,11,2025,2,active+inactive,""
Bet quest,119,15,581,3,active+inactive,""
JackpotCity,114,1,487,1,только active,""
Ice Fishing,109,11,819,2,active+inactive,""
Prostatitis,107,25,1456,3,active+inactive,""
Shuffle up,106,1,2789,1,только active,""
Casino membership,106,0,715,3,active+inactive,""
earn money online,103,5,832,1,только active,""
Starburst,98,32,1018,2,active+inactive,""
merge game,97,5,980,1,только active,""
PlayAmo,96,30,1226,1,только active,""
sports challenge,96,3,1851,1,только active,""
Fortune Slots,96,2,371,1,только active,""
FortuneSlots,96,0,371,1,только active,""
ethereum,90,54,1073,3,active+inactive,""
prostate gland,89,16,1680,3,active+inactive,""
SpinRush,89,0,666,1,только active,""
x100 multiplier,87,26,1774,3,active+inactive,""
simulation game,87,2,635,1,только active,""
live betting,86,5,1100,1,только active,""
VegasDream,85,84,1155,2,только active,""
soccer match,85,5,1274,1,только active,""
normalization,83,24,1086,3,active+inactive,""
Fire joker,82,22,492,3,active+inactive,""
Vegas Slots,81,85,1642,3,active+inactive,""
Lucky Slots,81,2,927,1,только active,""
dandruff,80,8,1400,2,active+inactive,""
Cash Carnival,77,4,676,3,active+inactive,""
Bonanza,75,8,1281,3,active+inactive,""
rectum,75,0,1122,3,active+inactive,""
Betting circuit,75,0,410,3,active+inactive,""
Roulette,74,3,1128,1,только active,""
Amatic,74,0,324,3,active+inactive,""
Baccarat,73,39,1013,2,active+inactive,""
Rake back,73,1,1051,1,только active,""
auditory function,72,2,1142,3,active+inactive,""
fortune awaits,71,1,422,2,только active,""
